id	districtId	name	nameEn	slug
7058	884	น้ำพ่น	Nam Phon	nam-phon
7059	884	โนนหวาย	Non Wai	non-wai
7060	884	หนองบัวบาน	Nong Bua Ban	nong-bua-ban
7061	884	หนองวัวซอ	Nong Wua So	nong-wua-so
7062	884	หนองอ้อ	Nong O	nong-o
7063	884	หมากหญ้า	Mak Ya	mak-ya
7064	884	อูบมุง	Up Mung	up-mung
7065	885	ทับกุง	Thap Kung	thap-kung
7066	885	นาดี	Na Di	na-di
7067	885	แสงสว่าง	Saeng Sawang	saeng-sawang
7068	885	หนองแสง	Nong Saeng	nong-saeng
7069	886	ดอนหายโศก	Don Hai Sok	don-hai-sok
7070	886	บ้านเชียง	Ban Chiang	ban-chiang
7071	886	บ้านยา	Ban Ya	ban-ya
7072	886	ผักตบ	Phak Top	phak-top
7073	886	พังงู	Phang Ngu	phang-ngu
7074	886	โพนงาม	Phon Ngam	phon-ngam
7075	886	สร้อยพร้าว	Soi Phrao	soi-phrao
7076	886	สะแบง	Sabaeng	sabaeng
7077	886	หนองไผ่	Nong Phai	nong-phai
7078	886	หนองเม็ก	Nong Mek	nong-mek
7079	886	หนองสระปลา	Nong Sa Pla	nong-sa-pla
7080	886	หนองหาน	Nong Han	nong-han
7081	887	ข่อยสูง	Khoi Sung	khoi-sung
7082	887	น้ำอ่าง	Nam Ang	nam-ang
7083	887	บ้านแก่ง	Ban Kaeng	ban-kaeng
7084	887	วังแดง	Wang Daeng	wang-daeng
7085	887	หาดสองแคว	Hat Song Khwae	hat-song-khwae
7086	888	น้ำพี้	Nam Phi	nam-phi
7087	888	บ่อทอง	Bo Thong	bo-thong
7088	888	ป่าคาย	Pa Khai	pa-khai
7089	888	ผักขวง	Phak Khuang	phak-khuang
7090	889	จริม	Chalim	chalim
7091	889	ท่าปลา	Tha Pla	tha-pla
7092	889	นางพญา	Nang Phaya	nang-phaya
7093	889	น้ำหมัน	Nam Man	nam-man
7094	889	ผาเลือด	Pha Lueat	pha-lueat
7095	889	ร่วมจิต	Ruam Chit	ruam-chit
7096	889	หาดล้า	Hat La	hat-la
7097	890	เด่นเหล็ก	Den Lek	den-lek
7098	890	ท่าแฝก	Tha Faek	tha-faek
7099	890	น้ำไคร้	Nam Khrai	nam-khrai
7100	890	น้ำไผ่	Nam Phai	nam-phai
7101	890	บ้านฝาย	Ban Fai	ban-fai
7102	890	แสนตอ	Saen To	saen-to
7103	890	ห้วยมุ่น	Huai Mun	huai-mun
7104	891	นาขุม	Na Khum	na-khum
7105	891	บ่อเบี้ย	Bo Bia	bo-bia
7106	891	บ้านโคก	Ban Khok	ban-khok
7107	891	ม่วงเจ็ดต้น	Muang Chet Ton	muang-chet-ton
7108	892	คอรุม	Kho Rum	kho-rum
7109	892	ท่ามะเฟือง	Tha Mafueang	tha-mafueang
7110	892	ท่าสัก	Tha Sak	tha-sak
7111	892	นายาง	Na Yang	na-yang
7112	892	นาอิน	Na In	na-in
7113	892	ในเมือง	Nai Mueang	nai-mueang
7114	892	บ้านโคน	Ban Khon	ban-khon
7115	892	บ้านดารา	Ban Dara	ban-dara
7116	892	บ้านหม้อ	Ban Mo	ban-mo
7117	892	พญาแมน	Phaya Maen	phaya-maen
7118	892	ไร่อ้อย	Rai Oi	rai-oi
7119	893	บ้านเสี้ยว	Ban Siao	ban-siao
7120	893	ฟากท่า	Fak Tha	fak-tha
7121	893	สองคอน	Song Khon	song-khon
7122	893	สองห้อง	Song Hong	song-hong
7123	894	ขุนฝาง	Khun Fang	khun-fang
7124	894	คุ้งตะเภา	Khung Taphao	khung-taphao
7125	894	งิ้วงาม	Ngio Ngam	ngio-ngam
7126	894	ถ้ำฉลอง	Tham Chalong	tham-chalong
7127	894	ท่าเสา	Tha Sao	tha-sao
7128	894	ท่าอิฐ	Tha It	tha-it
7129	894	น้ำริด	Nam Rit	nam-rit
7130	894	บ้านเกาะ	Ban Ko	ban-ko
7131	894	บ้านด่าน	Ban Dan	ban-dan
7132	894	บ้านด่านนาขาม	Ban Dan Na Kham	ban-dan-na-kham
7133	894	ป่าเซ่า	Pa Sao	pa-sao
7134	894	ผาจุก	Pha Chuk	pha-chuk
7135	894	วังกะพี้	Wang Kaphi	wang-kaphi
7136	894	วังดิน	Wang Din	wang-din
7137	894	แสนตอ	Saen To	saen-to
7138	894	หาดกรวด	Hat Kruat	hat-kruat
7139	894	หาดงิ้ว	Hat Ngio	hat-ngio
7140	895	ชัยจุมพล	Chai Chumphon	chai-chumphon
7141	895	ด่านแม่คำมัน	Dan Mae Kham Man	dan-mae-kham-man
7142	895	ทุ่งยั้ง	Thung Yang	thung-yang
7143	895	นานกกก	Na Nok Kok	na-nok-kok
7144	895	ไผ่ล้อม	Phai Lom	phai-lom
7145	895	ฝายหลวง	Fai Luang	fai-luang
7146	895	แม่พูล	Mae Phun	mae-phun
7147	895	ศรีพนมมาศ	Si Phanom Mat	si-phanom-mat
7148	896	เขาขี้ฝอย	Khao Khi Foi	khao-khi-foi
7149	896	โคกหม้อ	Khok Mo	khok-mo
7150	896	ตลุกดู่	Taluk Du	taluk-du
7151	896	ทัพทัน	Thap Than	thap-than
7152	896	ทุ่งนาไทย	Thung Na Thai	thung-na-thai
7153	896	หนองกระทุ่ม	Nong Krathum	nong-krathum
7154	896	หนองกลางดง	Nong Klang Dong	nong-klang-dong
7155	896	หนองยายดา	Nong Yai Da	nong-yai-da
7156	896	หนองสระ	Nong Sa	nong-sa
7157	896	หนองหญ้าปล้อง	Nong Ya Plong	nong-ya-plong
7158	897	แก่นมะกรูด	Kaen Makrut	kaen-makrut
7159	897	คอกควาย	Khok Khwai	khok-khwai
7160	897	เจ้าวัด	Chao Wat	chao-wat
7161	897	ทัพหลวง	Thap Luang	thap-luang
7162	897	บ้านบึง	Ban Bueng	ban-bueng
7163	897	บ้านไร่	Ban Rai	ban-rai
7164	897	บ้านใหม่คลองเคียน	Ban Mai Khlong Khian	ban-mai-khlong-khian
7165	897	เมืองการุ้ง	Muang Ka Rung	muang-ka-rung
7166	897	วังหิน	Wang Hin	wang-hin
7167	897	หนองจอก	Nong Chok	nong-chok
7168	897	หนองบ่มกล้วย	Nong Bom Kluai	nong-bom-kluai
7169	897	ห้วยแห้ง	Huai Haeng	huai-haeng
7170	897	หูช้าง	Hu Chang	hu-chang
7171	898	เกาะเทโพ	Ko Thepho	ko-thepho
7172	898	ดอนขวาง	Don Khwang	don-khwang
7173	898	ท่าซุง	Tha Sung	tha-sung
7174	898	ทุ่งใหญ่	Thung Yai	thung-yai
7175	898	น้ำซึม	Nam Suem	nam-suem
7176	898	เนินแจง	Noen Chaeng	noen-chaeng
7177	898	โนนเหล็ก	Non Lek	non-lek
7178	898	สะแกกรัง	Sakae Krang	sakae-krang
7179	898	หนองแก	Nong Kae	nong-kae
7180	898	หนองเต่า	Nong Tao	nong-tao
7181	898	หนองไผ่แบน	Nong Phai Baen	nong-phai-baen
7182	898	หนองพังค่า	Nong Phang Kha	nong-phang-kha
7183	898	หาดทนง	Hat Thanong	hat-thanong
7184	898	อุทัยใหม่	Uthai Mai	uthai-mai
7185	899	ทุ่งนางาม	Thung Na Ngam	thung-na-ngam
7186	899	น้ำรอบ	Nam Rop	nam-rop
7187	899	ประดู่ยืน	Pradu Yuen	pradu-yuen
7188	899	ป่าอ้อ	Pa O	pa-o
