id,provinceId,name,slug
511,38,บางกระทุ่ม,บางกระทุ่ม
512,38,บางระกำ,บางระกำ
513,38,พรหมพิราม,พรหมพิราม
514,38,เมืองพิษณุโลก,เมืองพิษณุโลก
515,38,วังทอง,วังทอง
516,38,วัดโบสถ์,วัดโบสถ์
517,39,แก่งกระจาน,แก่งกระจาน
518,39,เขาย้อย,เขาย้อย
519,39,ชะอำ,ชะอำ
520,39,ท่ายาง,ท่ายาง
521,39,บ้านลาด,บ้านลาด
522,39,บ้านแหลม,บ้านแหลม
523,39,เมืองเพชรบุรี,เมืองเพชรบุรี
524,39,หนองหญ้าปล้อง,หนองหญ้าปล้อง
525,40,เขาค้อ,เขาค้อ
526,40,ชนแดน,ชนแดน
527,40,น้ำหนาว,น้ำหนาว
528,40,บึงสามพัน,บึงสามพัน
529,40,เมืองเพชรบูรณ์,เมืองเพชรบูรณ์
530,40,วังโป่ง,วังโป่ง
531,40,วิเชียรบุรี,วิเชียรบุรี
532,40,ศรีเทพ,ศรีเทพ
533,40,หนองไผ่,หนองไผ่
534,40,หล่มเก่า,หล่มเก่า
535,40,หล่มสัก,หล่มสัก
536,41,เด่นชัย,เด่นชัย
537,41,เมืองแพร่,เมืองแพร่
538,41,ร้องกวาง,ร้องกวาง
539,41,ลอง,ลอง
540,41,วังชิ้น,วังชิ้น
541,41,สอง,สอง
542,41,สูงเม่น,สูงเม่น
543,41,หนองม่วงไข่,หนองม่วงไข่
544,42,กะทู้,กะทู้
545,42,ถลาง,ถลาง
546,42,เมืองภูเก็ต,เมืองภูเก็ต
547,43,กันทรวิชัย,กันทรวิชัย
548,43,กุดรัง,กุดรัง
549,43,แกดำ,แกดำ
550,43,โกสุมพิสัย,โกสุมพิสัย
551,43,ชื่นชม,ชื่นชม
552,43,เชียงยืน,เชียงยืน
553,43,นาเชือก,นาเชือก
554,43,นาดูน,นาดูน
555,43,บรบือ,บรบือ
556,43,พยัคฆภูมิพิสัย,พยัคฆภูมิพิสัย
557,43,เมืองมหาสารคาม,เมืองมหาสารคาม
558,43,ยางสีสุราช,ยางสีสุราช
559,43,วาปีปทุม,วาปีปทุม
560,44,คำชะอี,คำชะอี
561,44,ดงหลวง,ดงหลวง
562,44,ดอนตาล,ดอนตาล
563,44,นิคมคำสร้อย,นิคมคำสร้อย
564,44,เมืองมุกดาหาร,เมืองมุกดาหาร
565,44,หนองสูง,หนองสูง
566,44,หว้านใหญ่,หว้านใหญ่
567,45,ขุนยวม,ขุนยวม
568,45,ปางมะผ้า,ปางมะผ้า
569,45,ปาย,ปาย
570,45,เมืองแม่ฮ่องสอน,เมืองแม่ฮ่องสอน
571,45,แม่ลาน้อย,แม่ลาน้อย
572,45,แม่สะเรียง,แม่สะเรียง
573,45,สบเมย,สบเมย
574,46,กุดชุม,กุดชุม
575,46,ค้อวัง,ค้อวัง
576,46,คำเขื่อนแก้ว,คำเขื่อนแก้ว
577,46,ทรายมูล,ทรายมูล
578,46,ไทยเจริญ,ไทยเจริญ
579,46,ป่าติ้ว,ป่าติ้ว
580,46,มหาชนะชัย,มหาชนะชัย
581,46,เมืองยโสธร,เมืองยโสธร
582,46,เลิงนกทา,เลิงนกทา
583,47,กรงปินัง,กรงปินัง
584,47,กาบัง,กาบัง
585,47,ธารโต,ธารโต
586,47,บันนังสตา,บันนังสตา
587,47,เบตง,เบตง
588,47,เมืองยะลา,เมืองยะลา
589,47,ยะหา,ยะหา
590,47,รามัน,รามัน
591,48,เกษตรวิสัย,เกษตรวิสัย
592,48,จตุรพักตรพิมาน,จตุรพักตรพิมาน
593,48,จังหาร,จังหาร
594,48,เชียงขวัญ,เชียงขวัญ
595,48,ทุ่งเขาหลวง,ทุ่งเขาหลวง
596,48,ธวัชบุรี,ธวัชบุรี
597,48,ปทุมรัตต์,ปทุมรัตต์
598,48,พนมไพร,พนมไพร
599,48,โพธิ์ชัย,โพธิ์ชัย
600,48,โพนทราย,โพนทราย
601,48,โพนทอง,โพนทอง
602,48,เมยวดี,เมยวดี
603,48,เมืองร้อยเอ็ด,เมืองร้อยเอ็ด
604,48,เมืองสรวง,เมืองสรวง
605,48,ศรีสมเด็จ,ศรีสมเด็จ
606,48,สุวรรณภูมิ,สุวรรณภูมิ
607,48,เสลภูมิ,เสลภูมิ
608,48,หนองพอก,หนองพอก
609,48,หนองฮี,หนองฮี
610,48,อาจสามารถ,อาจสามารถ
611,49,กระบุรี,กระบุรี
612,49,กะเปอร์,กะเปอร์
613,49,เมืองระนอง,เมืองระนอง
614,49,ละอุ่น,ละอุ่น
615,49,สุขสำราญ,สุขสำราญ
616,50,แกลง,แกลง
617,50,เขาชะเมา,เขาชะเมา
618,50,นิคมพัฒนา,นิคมพัฒนา
619,50,บ้านค่าย,บ้านค่าย
620,50,บ้านฉาง,บ้านฉาง
621,50,ปลวกแดง,ปลวกแดง
622,50,เมืองระยอง,เมืองระยอง
623,50,วังจันทร์,วังจันทร์
624,51,จอมบึง,จอมบึง
625,51,ดำเนินสะดวก,ดำเนินสะดวก
626,51,บางแพ,บางแพ
627,51,บ้านคา,บ้านคา
628,51,บ้านโป่ง,บ้านโป่ง
629,51,ปากท่อ,ปากท่อ
630,51,โพธาราม,โพธาราม
631,51,เมืองราชบุรี,เมืองราชบุรี
632,51,วัดเพลง,วัดเพลง
633,51,สวนผึ้ง,สวนผึ้ง
634,52,โคกเจริญ,โคกเจริญ
635,52,โคกสำโรง,โคกสำโรง
636,52,ชัยบาดาล,ชัยบาดาล
637,52,ท่าวุ้ง,ท่าวุ้ง
638,52,ท่าหลวง,ท่าหลวง
639,52,บ้านหมี่,บ้านหมี่
640,52,พัฒนานิคม,พัฒนานิคม
641,52,เมืองลพบุรี,เมืองลพบุรี
642,52,ลำสนธิ,ลำสนธิ
643,52,สระโบสถ์,สระโบสถ์
644,52,หนองม่วง,หนองม่วง
645,53,เกาะคา,เกาะคา
